"Months.On.Production","API","Product.per.day..normalized.Oil","Product.per.day..normalized.Gas"
1,"4228333834",167.9,59.6
2,"4228333834",260.9,109.3
3,"4228333834",324.1,124.6
4,"4228333834",321.8,137.6
5,"4228333834",276.5,126.3
6,"4228333834",233.3,115.4
1,"4228334893",138.6,125.5
2,"4228334893",458.3,191.2
3,"4228334893",362.1,200.6
4,"4228334893",230.8,147.6
5,"4228334893",160.1,115
6,"4228334893",156.4,88.5
1,"4228334892",140.4,128.2
2,"4228334892",469.3,200.4
3,"4228334892",400.7,251
4,"4228334892",276,220.6
5,"4228334892",206.9,205.4
6,"4228334892",218.7,189.2
1,"4228334891",89.7,113.5
2,"4228334891",345.8,204.7
3,"4228334891",312.7,260.6
4,"4228334891",228.1,232.8
5,"4228334891",181.1,220.2
6,"4228334891",202.9,206.3
1,"4228334878",78.7,103
2,"4228334878",304.7,184.3
3,"4228334878",282.8,225.9
4,"4228334878",211.8,194.2
5,"4228334878",172.6,176.9
6,"4228334878",198.6,159.4
1,"4228333607",367.1,312.7
2,"4228333607",362.8,356
3,"4228333607",271.7,241
4,"4228333607",137.5,145.6
5,"4228333607",317.5,300.5
6,"4228333607",217.4,259.5
1,"4228333590",38.3,24
2,"4228333590",157.1,111.6
3,"4228333590",362.7,221.4
4,"4228333590",248.3,183.6
5,"4228333590",144.3,125.9
6,"4228333590",193.2,145.8
1,"4228333537",339.9,266.9
2,"4228333537",365.1,304.4
3,"4228333537",342.6,222.6
4,"4228333537",348.1,255.5
5,"4228333537",267.9,174.3
6,"4228333537",139.3,106.1
1,"4228333357",228.7,132.7
2,"4228333357",349.5,262.4
3,"4228333357",185.6,180.9
4,"4228333357",252.2,219
5,"4228333357",269.7,251.9
6,"4228333357",252,185.9
1,"4228333501",183.4,186.6
2,"4228333501",400.7,348.2
3,"4228333501",405.8,389.9
4,"4228333501",359,280
5,"4228333501",343.1,315.2
6,"4228333501",248.5,211
1,"4228333001",60.7,20
2,"4228333001",5.6,20
3,"4228333001",66.5,51.9
4,"4228333001",228.1,257.5
5,"4228333001",205.3,293.9
6,"4228333001",7.7,20
1,"4228333000",15.2,20
2,"4228333000",247.4,103.9
3,"4228333000",366.9,191.9
4,"4228333000",189.2,123.5
5,"4228333000",249.4,139.4
6,"4228333000",259.2,150.1
1,"4217732596",763.1,795.7
2,"4217732596",447.1,488.2
3,"4217732596",248.2,218.9
4,"4217732596",223.5,214.4
5,"4217732596",161.8,158.7
6,"4217732596",134.9,167.2
1,"4217733301",963.2,877.6
2,"4217733301",1367.1,1396.3
3,"4217733301",900.1,975.8
4,"4217733301",543.3,618.5
5,"4217733301",485.5,516
6,"4217733301",387.4,411.6
1,"4212333096",96.8,2259
2,"4212333096",158.5,3574.9
3,"4212333096",140.3,3633.3
4,"4212333096",127.8,3610.1
5,"4212333096",136,3234.8
6,"4212333096",104.5,2843.1
1,"4247941447",2,4059.4
2,"4247941447",2,6416.6
3,"4247941447",2,5215.2
4,"4247941447",2,4311.4
5,"4247941447",2,3889.4
6,"4247941447",2,3140.7
1,"4212733980",50.3,27.8
2,"4212733980",357.4,209
3,"4212733980",120.6,61.4
4,"4212733980",112.7,56
5,"4212733980",235.8,293
6,"4212733980",180.5,753.9
1,"4212733911",137.1,68.3
2,"4212733911",154.8,76.8
3,"4212733911",33.5,20
4,"4212733911",149.8,66.5
5,"4212733911",99.1,46.4
6,"4212733911",182.1,167.2
1,"4212734308",90.2,49.7
2,"4212734308",99.3,57.8
3,"4212734308",119.4,53.3
4,"4212734308",33.5,20
5,"4212734308",166.1,76.4
6,"4212734308",217.5,647.8
1,"4228732708",223.3,20
2,"4228732708",125.2,20
3,"4228732708",109,20
4,"4228732708",96.5,20
5,"4228732708",87.3,20
6,"4228732708",75.2,20
1,"4212332973",677.9,1113.2
2,"4212332973",1698.5,2587.3
3,"4212332973",1452.2,5860.7
4,"4212332973",1213.8,2396
5,"4212332973",1116.3,2370.7
6,"4212332973",865.3,2388.9
1,"4212332970",688.1,1189.7
2,"4212332970",884,856.3
3,"4212332970",828.7,985.5
4,"4212332970",692.3,1146.2
5,"4212332970",599.6,1058.5
6,"4212332970",691.4,1291.1
1,"4212332971",694.6,1123.7
2,"4212332971",1740.5,2611.8
3,"4212332971",1487.2,5916.2
4,"4212332971",1242.3,2418.6
5,"4212332971",1141.7,2393
6,"4212332971",884.5,2411.5
1,"4212334030",477.1,619.6
2,"4212334030",1098.6,1520.4
3,"4212334030",961.7,1399.8
4,"4212334030",692.2,1124.3
5,"4212334030",612.9,1095.5
6,"4212334030",494.3,947.9
1,"4217732684",2,105.7
2,"4217732684",2,69.7
3,"4217732684",2,20
4,"4217732684",858,701.1
5,"4217732684",1958.2,1719.7
6,"4217732684",1888.8,1803.8
1,"4217732683",520.6,1171.8
2,"4217732683",513.6,1544.5
3,"4217732683",462.9,1409.3
4,"4217732683",289.6,855.7
5,"4217732683",150.6,449.8
6,"4217732683",232.8,601
1,"4217732686",517.1,678.8
2,"4217732686",498.4,756.9
3,"4217732686",460.2,772.7
4,"4217732686",295,524.8
5,"4217732686",157.2,308.6
6,"4217732686",248.8,461.2
1,"4217732682",2,143.4
2,"4217732682",2,105.7
3,"4217732682",2,69.7
4,"4217732682",2,20
5,"4217732682",840.3,1479.5
6,"4217732682",1840.4,3262.8
1,"4217732681",354.2,877.4
2,"4217732681",367.3,690.8
3,"4217732681",392.4,686.1
4,"4217732681",244.1,453.5
5,"4217732681",125.7,259.5
6,"4217732681",192.3,377.2
