"API","BOE_Prod_2yr","BOE_Prod_6mon","TOC","Permeability...d.","Brittleness","Porosity","Thickness","Vclay","TVD","Surf.Lat","Surf.Lon","Lateral..ft.","GPI","Proppant.per.GPI..lb.ft.","Fluid.per.GPI..gal.ft.","Total.Proppant.Volume","Total.Fluid","API.Gravity","Fluid.Type","On.Stream"
"4231136218",229927.5,0,2.66,0.19,29.5,0.06,124,0.27,10386,28.59412,-98.4616,6614,6139,1304.772764,763.9996742,8010000,4690194,41,"XLINK",2016-08-01
"4231136219",139847,0,2.66,0.19,29.5,0.06,124,0.27,10378,28.59412,-98.4617,6586,6085,1316.680362,762.8423993,8012000,4641896,45.59999847,"XLINK",2016-08-01
"4231136200",149453.5,0,2.51,0.15,30,0.057,124,0.27,10272,28.59556,-98.47396,7322,6123,989.710926,680.6658501,6060000,4167717,39.70000076,"XLINK",2016-08-01
"4231136024",162115,0,2.78,0.21,28.8,0.063,125,0.26,10449,28.59393,-98.44768,7909,5912,1339.648173,732.980548,7920000,4333381,40.90000153,"XLINK",2016-08-01
"4231136025",135819.5,0,2.78,0.21,28.8,0.063,125,0.26,10452,28.59392,-98.44758,8143,6043,1310.607314,699.5412874,7920000,4227328,44.29999924,"XLINK",2016-08-01
"4231136216",158322.5,0,2.66,0.19,29.5,0.06,124,0.27,10396,28.59412,-98.46141,8720,6187,1273.961532,786.7371909,7882000,4867543,40.5,"XLINK",2016-08-01
"4231136026",167768.5,0,2.78,0.21,28.8,0.063,125,0.26,10462,28.59392,-98.44749,8395,5894,1309.806583,774.3400068,7720000,4563960,44.59999847,"XLINK",2016-08-01
"4212737273",110951.5,0,4.21,0.68,27.5,0.091,156,0.21,6759,28.21274,-99.91241,4903,8194,2901.879424,1503.161216,23778000,12316903,49.70000076,"XLINK",2016-07-01
"4212737272",101298.5,0,4.21,0.68,27.5,0.091,156,0.21,7014,28.21282,-99.91241,4957,7990,2005.256571,1157.764205,16022000,9250536,49.40000153,"SLKW",2016-07-01
"4212736408",142909.5,0,4.48,0.71,25.1,0.096,176,0.22,6648,28.2686,-99.93585,4888,6278,1262.185409,786.3923224,7924000,4936971,51.40000153,"XLINK",2016-07-01
"4212736107",234876.5,157307,4.4,0.67,26,0.095,175,0.22,6500,28.24682,-99.95312,5810,6953,1652.811736,800.0745002,11492000,5562918,50.29999924,"XLINK",2016-07-01
"4247943519",372686.5,0,4.69,0.93,26.8,0.101,110,0.17,7858,28.06793,-99.85968,6947,8269,1303.906156,794.8183577,10782000,6572353,63,"XLINK",2016-07-01
"4212736135",265964,165793,4.4,0.67,26,0.095,175,0.22,6501,28.24666,-99.95311,6174,7080,1622.59887,753.0258475,11488000,5331423,50.40000153,"XLINK",2016-07-01
"4231136266",211439.5,0,3.07,0.29,27.9,0.069,126,0.25,10587,28.5949,-98.42646,7335,8354,1290.878621,731.3950203,10784000,6110074,44.70000076,"XLINK",2016-07-01
"4231136279",160599,0,2.98,0.27,28.2,0.067,126,0.25,10551,28.59282,-98.43137,5340,5627,1306.913098,862.7204549,7354000,4854528,41,"XLINK",2016-07-01
"4247943517",356534,0,4.69,0.93,26.8,0.101,110,0.17,7882,28.06776,-99.85968,8048,8412,1320.494532,818.8097955,11108000,6887828,63.79999924,"XLINK",2016-07-01
"4217733607",87735,0,3.64,0.43,25.8,0.08,161,0.25,11576,29.1864,-97.54358,2664,2742,1959.883297,1716.271335,5374000,4706016,42,"SLKW",2016-07-01
"4217733665",197096,103707,3.54,0.38,26.4,0.079,150,0.25,10569,29.21514,-97.55205,4987,5052,2367.379256,2003.745843,11960000,10122924,94,"SLKW",2016-07-01
"4217733664",177586,84076.5,3.54,0.38,26.4,0.079,150,0.25,10578,29.21524,-97.55206,4823,4877,2288.291983,2024.56018,11160000,9873780,44,"SLKW",2016-07-01
"4201335386",197590.5,0,3.12,0.27,27.5,0.069,83,0.29,8635,28.7454,-98.58793,9999,10082,1633.802817,1483.682305,16472000,14958485,33,"SLKW",2016-07-01
"4201335380",199354,0,3.14,0.26,27.7,0.07,97,0.28,8900,28.68001,-98.64051,8982,9027,1978.28736,1817.249363,17858000,16404310,35,"SLKW",2016-07-01
"4217733703",272990.5,0,2.86,0.22,24,0.064,185,0.3,11349,29.32322,-97.35633,5568,5578,2794.191466,2432.704554,15586000,13569626,43,"SLKW",2016-07-01
"4217733690",289864,0,2.86,0.22,24,0.064,185,0.3,11349,29.32309,-97.35647,5263,5198,2906.887264,2439.230088,15110000,12679118,43,"SLKW",2016-07-01
